house,year,date,url,file
hofreps,1901,1901-05-09,/parlInfo/download/hansard80/hansardr80/1901-05-09/toc_unixml/19010509_reps_1_1_v13.xml;fileType=text%2Fxml,19010509_reps_1_1_v13.xml
hofreps,1901,1901-05-10,/parlInfo/download/hansard80/hansardr80/1901-05-10/toc_unixml/19010510_reps_1_1_v11.xml;fileType=text%2Fxml,19010510_reps_1_1_v11.xml
hofreps,1901,1901-05-21,/parlInfo/download/hansard80/hansardr80/1901-05-21/toc_unixml/19010521_reps_1_1_v7.xml;fileType=text%2Fxml,19010521_reps_1_1_v7.xml
hofreps,1901,1901-05-22,/parlInfo/download/hansard80/hansardr80/1901-05-22/toc_unixml/19010522_reps_1_1_v10.xml;fileType=text%2Fxml,19010522_reps_1_1_v10.xml
hofreps,1901,1901-05-23,/parlInfo/download/hansard80/hansardr80/1901-05-23/toc_unixml/19010523_reps_1_1_v13.xml;fileType=text%2Fxml,19010523_reps_1_1_v13.xml
hofreps,1901,1901-05-29,/parlInfo/download/hansard80/hansardr80/1901-05-29/toc_unixml/19010529_reps_1_1_v11.xml;fileType=text%2Fxml,19010529_reps_1_1_v11.xml
hofreps,1901,1901-05-30,/parlInfo/download/hansard80/hansardr80/1901-05-30/toc_unixml/19010530_reps_1_1_v8.xml;fileType=text%2Fxml,19010530_reps_1_1_v8.xml
hofreps,1901,1901-05-31,/parlInfo/download/hansard80/hansardr80/1901-05-31/toc_unixml/19010531_reps_1_1_v11.xml;fileType=text%2Fxml,19010531_reps_1_1_v11.xml
hofreps,1901,1901-06-04,/parlInfo/download/hansard80/hansardr80/1901-06-04/toc_unixml/19010604_reps_1_1_v10.xml;fileType=text%2Fxml,19010604_reps_1_1_v10.xml
hofreps,1901,1901-06-05,/parlInfo/download/hansard80/hansardr80/1901-06-05/toc_unixml/19010605_reps_1_1_v11.xml;fileType=text%2Fxml,19010605_reps_1_1_v11.xml
hofreps,1901,1901-06-06,/parlInfo/download/hansard80/hansardr80/1901-06-06/toc_unixml/19010606_reps_1_1_v9.xml;fileType=text%2Fxml,19010606_reps_1_1_v9.xml
hofreps,1901,1901-06-07,/parlInfo/download/hansard80/hansardr80/1901-06-07/toc_unixml/19010607_reps_1_1_v8.xml;fileType=text%2Fxml,19010607_reps_1_1_v8.xml
hofreps,1901,1901-06-11,/parlInfo/download/hansard80/hansardr80/1901-06-11/toc_unixml/19010611_reps_1_1_v14.xml;fileType=text%2Fxml,19010611_reps_1_1_v14.xml
hofreps,1901,1901-06-12,/parlInfo/download/hansard80/hansardr80/1901-06-12/toc_unixml/19010612_reps_1_1_v14.xml;fileType=text%2Fxml,19010612_reps_1_1_v14.xml
hofreps,1901,1901-06-13,/parlInfo/download/hansard80/hansardr80/1901-06-13/toc_unixml/19010613_reps_1_1_v12.xml;fileType=text%2Fxml,19010613_reps_1_1_v12.xml
hofreps,1901,1901-06-14,/parlInfo/download/hansard80/hansardr80/1901-06-14/toc_unixml/19010614_reps_1_1_v9.xml;fileType=text%2Fxml,19010614_reps_1_1_v9.xml
hofreps,1901,1901-06-19,/parlInfo/download/hansard80/hansardr80/1901-06-19/toc_unixml/19010619_reps_1_1_v9.xml;fileType=text%2Fxml,19010619_reps_1_1_v9.xml
hofreps,1901,1901-06-20,/parlInfo/download/hansard80/hansardr80/1901-06-20/toc_unixml/19010620_reps_1_1_v11.xml;fileType=text%2Fxml,19010620_reps_1_1_v11.xml
hofreps,1901,1901-06-21,/parlInfo/download/hansard80/hansardr80/1901-06-21/toc_unixml/19010621_reps_1_2_v10.xml;fileType=text%2Fxml,19010621_reps_1_2_v10.xml
hofreps,1901,1901-06-25,/parlInfo/download/hansard80/hansardr80/1901-06-25/toc_unixml/19010625_reps_1_2_v10.xml;fileType=text%2Fxml,19010625_reps_1_2_v10.xml
hofreps,1901,1901-06-26,/parlInfo/download/hansard80/hansardr80/1901-06-26/toc_unixml/19010626_reps_1_2_v10.xml;fileType=text%2Fxml,19010626_reps_1_2_v10.xml
hofreps,1901,1901-06-27,/parlInfo/download/hansard80/hansardr80/1901-06-27/toc_unixml/19010627_reps_1_2_v11.xml;fileType=text%2Fxml,19010627_reps_1_2_v11.xml
hofreps,1901,1901-06-28,/parlInfo/download/hansard80/hansardr80/1901-06-28/toc_unixml/19010628_reps_1_2_v9.xml;fileType=text%2Fxml,19010628_reps_1_2_v9.xml
hofreps,1901,1901-07-02,/parlInfo/download/hansard80/hansardr80/1901-07-02/toc_unixml/19010702_reps_1_2_v11.xml;fileType=text%2Fxml,19010702_reps_1_2_v11.xml
hofreps,1901,1901-07-03,/parlInfo/download/hansard80/hansardr80/1901-07-03/toc_unixml/19010703_reps_1_2_v13.xml;fileType=text%2Fxml,19010703_reps_1_2_v13.xml
hofreps,1901,1901-07-04,/parlInfo/download/hansard80/hansardr80/1901-07-04/toc_unixml/19010704_reps_1_2_v15.xml;fileType=text%2Fxml,19010704_reps_1_2_v15.xml
hofreps,1901,1901-07-05,/parlInfo/download/hansard80/hansardr80/1901-07-05/toc_unixml/19010705_reps_1_2_v8.xml;fileType=text%2Fxml,19010705_reps_1_2_v8.xml
hofreps,1901,1901-07-09,/parlInfo/download/hansard80/hansardr80/1901-07-09/toc_unixml/19010709_reps_1_2_v12.xml;fileType=text%2Fxml,19010709_reps_1_2_v12.xml
hofreps,1901,1901-07-10,/parlInfo/download/hansard80/hansardr80/1901-07-10/toc_unixml/19010710_reps_1_2_v9.xml;fileType=text%2Fxml,19010710_reps_1_2_v9.xml
hofreps,1901,1901-07-11,/parlInfo/download/hansard80/hansardr80/1901-07-11/toc_unixml/19010711_reps_1_2_v12.xml;fileType=text%2Fxml,19010711_reps_1_2_v12.xml
hofreps,1901,1901-07-12,/parlInfo/download/hansard80/hansardr80/1901-07-12/toc_unixml/19010712_reps_1_2_v8.xml;fileType=text%2Fxml,19010712_reps_1_2_v8.xml
hofreps,1901,1901-07-16,/parlInfo/download/hansard80/hansardr80/1901-07-16/toc_unixml/19010716_reps_1_2_v11.xml;fileType=text%2Fxml,19010716_reps_1_2_v11.xml
hofreps,1901,1901-07-17,/parlInfo/download/hansard80/hansardr80/1901-07-17/toc_unixml/19010717_reps_1_2_v18.xml;fileType=text%2Fxml,19010717_reps_1_2_v18.xml
hofreps,1901,1901-07-18,/parlInfo/download/hansard80/hansardr80/1901-07-18/toc_unixml/19010718_reps_1_2_v12.xml;fileType=text%2Fxml,19010718_reps_1_2_v12.xml
hofreps,1901,1901-07-19,/parlInfo/download/hansard80/hansardr80/1901-07-19/toc_unixml/19010719_reps_1_3_v6.xml;fileType=text%2Fxml,19010719_reps_1_3_v6.xml
hofreps,1901,1901-07-23,/parlInfo/download/hansard80/hansardr80/1901-07-23/toc_unixml/19010723_reps_1_3_v9.xml;fileType=text%2Fxml,19010723_reps_1_3_v9.xml
