1901,113
1902,105
1903,76
1904,122
1905,90
1906,70
1907,97
1908,92
1909,95
1910,80
1911,61
1912,104
1913,73
1914,61
1915,72
1916,32
1917,52
1918,87
1919,51
1920,113
1921,92
1922,54
1923,52
1924,83
1925,36
1926,83
1927,58
1928,62
1929,54
1930,97
1931,92
1932,73
1933,62
1934,36
1935,54
1936,70
1937,29
1938,64
1939,51
1940,41
1941,49
1942,44
1943,47
1944,57
1945,89
1946,63
1947,91
1948,88
1949,77
1950,83
1951,55
1952,74
1953,59
1954,48
1955,53
1956,78
1957,63
1958,48
1959,71
1960,74
1961,55
1962,66
1963,53
1964,64
1965,76
1966,54
1967,62
1968,67
1969,51
1970,73
1971,74
1972,60
1973,81
1974,64
1975,69
1976,79
1977,66
1978,75
1979,68
1980,51
