house,date,search_results,search_url,xml_found,xml_url
hofreps,1927-11-18,False,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A18/11/1927%20Dataset%3Ahansardr,hansardr80,hansardrIndex;resCount=Default",False,
hofreps,1985-05-13,False,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A13/05/1985%20Dataset%3Ahansardr,hansardr80,hansardrIndex;resCount=Default",False,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1985-05-13/toc_sgml/reps%201985-05-13.sgm
hofreps,1985-08-23,True,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A23/08/1985%20Dataset%3Ahansardr,hansardr80,hansardrIndex;resCount=Default",False,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1985-08-23/toc_sgml/reps%201985-08-23.sgm
hofreps,1991-05-13,False,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A13/05/1991%20Dataset%3Ahansardr,hansardr80,hansardrIndex;resCount=Default",False,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1991-05-13/toc_sgml/reps%201991-05-13.sgm
hofreps,1992-09-10,True,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A10/09/1992%20Dataset%3Ahansardr,hansardr80,hansardrIndex;resCount=Default",False,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1992-09-10/toc_sgml/reps%201992-09-10.sgm
hofreps,1996-05-30,False,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A30/05/1996%20Dataset%3Ahansardr,hansardr80,hansardrIndex;resCount=Default",False,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-05-30/toc_sgml/reps%201996-05-30.sgm
hofreps,1996-11-20,False,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A20/11/1996%20Dataset%3Ahansardr,hansardr80,hansardrIndex;resCount=Default",False,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-11-20/toc_sgml/reps%201996-11-20.sgm
hofreps,1996-12-13,True,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A13/12/1996%20Dataset%3Ahansardr,hansardr80,hansardrIndex;resCount=Default",False,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansardr/1996-12-13/toc_sgml/reps%201996-12-13.sgm
hofreps,2004-02-10,True,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A10/02/2004%20Dataset%3Ahansardr,hansardr80,hansardrIndex;resCount=Default",False,
senate,1928-03-15,False,"https://parlinfo.aph.gov.au/parlInfo/search/summary/summary.w3p;adv=yes;orderBy=customrank;page=0;query=Date%3A15/03/1928%20Dataset%3Ahansards,hansards80,hansardsIndex;resCount=Default",False,
