1901,85
1902,93
1903,62
1904,64
1905,65
1906,56
1907,64
1908,84
1909,70
1910,48
1911,39
1912,43
1913,25
1914,44
1915,54
1916,30
1917,26
1918,54
1919,29
1920,76
1921,79
1922,44
1923,35
1924,64
1925,33
1926,61
1927,44
1928,43
1929,41
1930,63
1931,76
1932,51
1933,46
1934,21
1935,37
1936,49
1937,27
1938,46
1939,33
1940,34
1941,38
1942,35
1943,35
1944,44
1945,51
1946,42
1947,38
1948,39
1949,32
1950,66
1951,40
1952,38
1953,36
1954,35
1955,36
1956,54
1957,53
1958,37
1959,71
1960,71
1961,52
1962,64
1963,42
1964,62
1965,63
1966,46
1967,62
1968,68
1969,50
1970,72
1971,73
1972,62
1973,80
1974,66
1975,72
1976,79
1977,72
1978,76
1979,71
1980,57
